1/21/2010 0:00:00 , "NV" , "FLASH FLOOD" , 0.00 , 3642.00 , 11440.00
1/21/2010 0:00:00 , "NV" , "FLASH FLOOD" , 0.00 , 3607.00 , 11510.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3243.00 , 9457.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3243.00 , 9458.00
1/20/2010 0:00:00 , "MS" , "FLASH FLOOD" , 0.00 , 3221.00 , 9052.00
1/20/2010 0:00:00 , "MS" , "FLASH FLOOD" , 0.00 , 3219.00 , 9036.00
1/24/2010 0:00:00 , "MS" , "HAIL" , 0.00 , 3346.00 , 8948.00
1/24/2010 0:00:00 , "MS" , "HAIL" , 0.00 , 3336.00 , 9048.00
1/24/2010 0:00:00 , "MS" , "FLASH FLOOD" , 0.00 , 3119.00 , 8919.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4007.00 , 7513.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3623.00 , 7957.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3627.00 , 7955.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3627.00 , 7938.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3624.00 , 7939.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3517.00 , 8025.00
1/19/2010 0:00:00 , "CA" , "TORNADO" , 0.00 , 3343.00 , 11807.00
1/21/2010 0:00:00 , "FL" , "FUNNEL CLOUD" , 0.00 , 2906.00 , 8200.00
1/21/2010 0:00:00 , "FL" , "HAIL" , 0.00 , 3000.00 , 8141.00
1/21/2010 0:00:00 , "FL" , "HEAVY RAIN" , 0.00 , 2948.00 , 8200.00
1/20/2010 0:00:00 , "FL" , "HEAVY RAIN" , 0.00 , 2942.00 , 8132.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3016.00 , 8257.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3013.00 , 8248.00
1/25/2010 0:00:00 , "NY" , "FLASH FLOOD" , 0.00 , 4315.00 , 7322.00
1/25/2010 0:00:00 , "NY" , "FLASH FLOOD" , 0.00 , 4316.00 , 7334.00
1/25/2010 0:00:00 , "NY" , "FLASH FLOOD" , 0.00 , 4327.00 , 7334.00
1/25/2010 0:00:00 , "NY" , "FLOOD" , 0.00 , 4145.00 , 7405.00
1/26/2010 0:00:00 , "NY" , "FLOOD" , 0.00 , 4250.00 , 7400.00
1/25/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3431.00 , 7940.00
1/25/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3341.00 , 7919.00
1/25/2010 0:00:00 , "SC" , "THUNDERSTORM WIND" , 0.00 , 3440.00 , 7952.00
1/24/2010 0:00:00 , "GA" , "THUNDERSTORM WIND" , 0.00 , 3329.00 , 8207.00
